,result,iterations,task,objective,learning_rate,num_leaves,max_depth,min_data_in_leaf,min_sum_hessian_in_leaf,lambda_l1,lambda_l2,scale_pos_weight,metric,verbose
0,0.7820023031787872,138,train,binary,0.1,100,8,20,0.001,0.0,0.0,1.0,auc,-1
1,0.7831464323854137,129,train,binary,0.1,90,8,20,0.001,0.0,0.0,1.0,auc,-1
2,0.7833015077905919,169,train,binary,0.1,80,8,20,0.001,0.0,0.0,1.0,auc,-1
3,0.7834793433237405,137,train,binary,0.1,70,8,20,0.001,0.0,0.0,1.0,auc,-1
4,0.7835977288865298,175,train,binary,0.1,60,8,20,0.001,0.0,0.0,1.0,auc,-1
5,0.7842027613680738,170,train,binary,0.1,40,8,20,0.001,0.0,0.0,1.0,auc,-1
6,0.7849632655797689,181,train,binary,0.1,50,8,20,0.001,0.0,0.0,1.0,auc,-1
7,0.7854725808077099,242,train,binary,0.1,30,8,20,0.001,0.0,0.0,1.0,auc,-1
8,0.7855367982561184,304,train,binary,0.1,20,8,20,0.001,0.0,0.0,1.0,auc,-1
9,0.7864862201620573,439,train,binary,0.1,10,8,20,0.001,0.0,0.0,1.0,auc,-1
10,0.7864862201620573,439,train,binary,0.1,10,8,20,0.001,0.0,0.0,1.0,auc,-1
11,0.7865956909984557,466,train,binary,0.1,10,7,20,0.001,0.0,0.0,1.0,auc,-1
12,0.7867752683339904,545,train,binary,0.1,10,9,20,0.001,0.0,0.0,1.0,auc,-1
13,0.7871526836670111,582,train,binary,0.1,10,6,20,0.001,0.0,0.0,1.0,auc,-1
14,0.7872880281462843,521,train,binary,0.1,10,5,20,0.001,0.0,0.0,1.0,auc,-1
15,0.7883955950035437,695,train,binary,0.1,10,4,20,0.001,0.0,0.0,1.0,auc,-1
16,0.7895166401745372,768,train,binary,0.1,10,3,20,0.001,0.0,0.0,1.0,auc,-1
17,0.7891244915392825,790,train,binary,0.1,10,3,10,0.001,0.0,0.0,1.0,auc,-1
18,0.7894637250067511,695,train,binary,0.1,10,3,60,0.001,0.0,0.0,1.0,auc,-1
19,0.7895166401745372,768,train,binary,0.1,10,3,20,0.001,0.0,0.0,1.0,auc,-1
20,0.7896665126813172,881,train,binary,0.1,10,3,30,0.001,0.0,0.0,1.0,auc,-1
21,0.7896822415165266,805,train,binary,0.1,10,3,40,0.001,0.0,0.0,1.0,auc,-1
22,0.7897205908446859,870,train,binary,0.1,10,3,50,0.001,0.0,0.0,1.0,auc,-1
23,0.7898476535693543,882,train,binary,0.1,10,3,70,0.001,0.0,0.0,1.0,auc,-1
24,0.7899263358190236,834,train,binary,0.1,10,3,80,0.001,0.0,0.0,1.0,auc,-1
25,0.7896463771997444,642,train,binary,0.1,10,3,80,0.001,0.7,0.0,1.0,auc,-1
26,0.789894787650656,842,train,binary,0.1,10,3,80,0.001,0.3,0.0,1.0,auc,-1
27,0.7899263358190236,834,train,binary,0.1,10,3,80,0.001,0.0,0.0,1.0,auc,-1
28,0.7899681467315329,867,train,binary,0.1,10,3,80,0.001,0.1,0.0,1.0,auc,-1
29,0.7899861802066857,870,train,binary,0.1,10,3,80,0.001,0.6,0.0,1.0,auc,-1
30,0.7899984541163114,834,train,binary,0.1,10,3,80,0.001,0.5,0.0,1.0,auc,-1
31,0.790278933507015,879,train,binary,0.1,10,3,80,0.001,0.4,0.0,1.0,auc,-1
32,0.7904191632508132,958,train,binary,0.1,10,3,80,0.001,0.2,0.0,1.0,auc,-1
33,0.789907373359833,729,train,binary,0.1,10,3,80,0.001,0.2,0.1,1.0,auc,-1
34,0.7899808534245254,813,train,binary,0.1,10,3,80,0.001,0.2,0.2,1.0,auc,-1
35,0.7900685697010206,835,train,binary,0.1,10,3,80,0.001,0.2,0.5,1.0,auc,-1
36,0.7900895536017233,1006,train,binary,0.1,10,3,80,0.001,0.2,0.4,1.0,auc,-1
37,0.790137347323662,826,train,binary,0.1,10,3,80,0.001,0.2,0.3,1.0,auc,-1
38,0.7902040786991377,963,train,binary,0.1,10,3,80,0.001,0.2,0.6,1.0,auc,-1
39,0.7902053777908623,815,train,binary,0.1,10,3,80,0.001,0.2,0.7,1.0,auc,-1
40,0.7904191632508132,958,train,binary,0.1,10,3,80,0.001,0.2,0.0,1.0,auc,-1
41,0.7882723360268076,723,train,binary,0.1,10,3,80,0.001,0.2,0.0,11.5,auc,-1
42,0.7904191632508132,958,train,binary,0.1,10,3,80,0.001,0.2,0.0,1.0,auc,-1
43,0.7899623717529966,1082,train,binary,0.08,10,3,80,0.001,0.2,0.0,1.0,auc,-1
44,0.790383056442613,4068,train,binary,0.02,10,3,80,0.001,0.2,0.0,1.0,auc,-1
45,0.7903904321787865,2889,train,binary,0.03,10,3,80,0.001,0.2,0.0,1.0,auc,-1
46,0.7904191632508132,958,train,binary,0.1,10,3,80,0.001,0.2,0.0,1.0,auc,-1
47,0.7905123396618403,1841,train,binary,0.05,10,3,80,0.001,0.2,0.0,1.0,auc,-1
48,0.7905870506194229,9074,train,binary,0.01,10,3,80,0.001,0.2,0.0,1.0,auc,-1
