,result,iterations,task,objective,learning_rate,num_leaves,max_depth,min_data_in_leaf,min_sum_hessian_in_leaf,lambda_l1,lambda_l2,scale_pos_weight,metric,verbose
0,0.7558896955055544,87,train,binary,0.1,100,8,20,0.001,0.0,0.0,1.0,auc,-1
1,0.7559050508993079,96,train,binary,0.1,80,8,20,0.001,0.0,0.0,1.0,auc,-1
2,0.7563207476776095,85,train,binary,0.1,90,8,20,0.001,0.0,0.0,1.0,auc,-1
3,0.7566291102791984,98,train,binary,0.1,70,8,20,0.001,0.0,0.0,1.0,auc,-1
4,0.7568152108240095,110,train,binary,0.1,40,8,20,0.001,0.0,0.0,1.0,auc,-1
5,0.7572163228379921,103,train,binary,0.1,50,8,20,0.001,0.0,0.0,1.0,auc,-1
6,0.757235814628364,98,train,binary,0.1,60,8,20,0.001,0.0,0.0,1.0,auc,-1
7,0.7572934631511978,167,train,binary,0.1,30,8,20,0.001,0.0,0.0,1.0,auc,-1
8,0.7574688651378586,294,train,binary,0.1,10,8,20,0.001,0.0,0.0,1.0,auc,-1
9,0.7575577141894542,226,train,binary,0.1,20,8,20,0.001,0.0,0.0,1.0,auc,-1
10,0.7574010564177647,166,train,binary,0.1,20,7,20,0.001,0.0,0.0,1.0,auc,-1
11,0.7575577141894542,226,train,binary,0.1,20,8,20,0.001,0.0,0.0,1.0,auc,-1
12,0.7576710043934155,155,train,binary,0.1,20,9,20,0.001,0.0,0.0,1.0,auc,-1
13,0.758084243502752,195,train,binary,0.1,20,6,20,0.001,0.0,0.0,1.0,auc,-1
14,0.7586447898145586,195,train,binary,0.1,20,5,20,0.001,0.0,0.0,1.0,auc,-1
15,0.758954452018894,328,train,binary,0.1,20,4,20,0.001,0.0,0.0,1.0,auc,-1
16,0.7594570480976334,546,train,binary,0.1,20,3,20,0.001,0.0,0.0,1.0,auc,-1
17,0.7593963359604043,487,train,binary,0.1,20,3,10,0.001,0.0,0.0,1.0,auc,-1
18,0.7594558172224614,485,train,binary,0.1,20,3,30,0.001,0.0,0.0,1.0,auc,-1
19,0.7594570480976334,546,train,binary,0.1,20,3,20,0.001,0.0,0.0,1.0,auc,-1
20,0.7594799005153975,548,train,binary,0.1,20,3,80,0.001,0.0,0.0,1.0,auc,-1
21,0.7595008372689643,464,train,binary,0.1,20,3,50,0.001,0.0,0.0,1.0,auc,-1
22,0.7595200079377489,553,train,binary,0.1,20,3,40,0.001,0.0,0.0,1.0,auc,-1
23,0.7596624478367404,563,train,binary,0.1,20,3,60,0.001,0.0,0.0,1.0,auc,-1
24,0.7597687065960874,588,train,binary,0.1,20,3,70,0.001,0.0,0.0,1.0,auc,-1
25,0.7596109640398436,479,train,binary,0.1,20,3,70,0.001,0.1,0.0,1.0,auc,-1
26,0.7597492800125208,526,train,binary,0.1,20,3,70,0.001,0.3,0.0,1.0,auc,-1
27,0.7597687065960874,588,train,binary,0.1,20,3,70,0.001,0.0,0.0,1.0,auc,-1
28,0.7598090608055446,627,train,binary,0.1,20,3,70,0.001,0.7,0.0,1.0,auc,-1
29,0.7598518959078369,603,train,binary,0.1,20,3,70,0.001,0.6,0.0,1.0,auc,-1
30,0.759858345156468,623,train,binary,0.1,20,3,70,0.001,0.5,0.0,1.0,auc,-1
31,0.7599150356914998,585,train,binary,0.1,20,3,70,0.001,0.4,0.0,1.0,auc,-1
32,0.7599709295380915,557,train,binary,0.1,20,3,70,0.001,0.2,0.0,1.0,auc,-1
33,0.7595672898835812,485,train,binary,0.1,20,3,70,0.001,0.2,0.6,1.0,auc,-1
34,0.7596261634489916,542,train,binary,0.1,20,3,70,0.001,0.2,0.7,1.0,auc,-1
35,0.7596286691355465,561,train,binary,0.1,20,3,70,0.001,0.2,0.3,1.0,auc,-1
36,0.7597206087431323,580,train,binary,0.1,20,3,70,0.001,0.2,0.5,1.0,auc,-1
37,0.7598376844112561,521,train,binary,0.1,20,3,70,0.001,0.2,0.1,1.0,auc,-1
38,0.7599006780165286,552,train,binary,0.1,20,3,70,0.001,0.2,0.4,1.0,auc,-1
39,0.7599665705166667,598,train,binary,0.1,20,3,70,0.001,0.2,0.2,1.0,auc,-1
40,0.7599709295380915,557,train,binary,0.1,20,3,70,0.001,0.2,0.0,1.0,auc,-1
41,0.7587689078282807,547,train,binary,0.1,20,3,70,0.001,0.2,0.0,11.5,auc,-1
42,0.7599709295380915,557,train,binary,0.1,20,3,70,0.001,0.2,0.0,1.0,auc,-1
43,0.7598715528787678,664,train,binary,0.08,20,3,70,0.001,0.2,0.0,1.0,auc,-1
44,0.7599709295380915,557,train,binary,0.1,20,3,70,0.001,0.2,0.0,1.0,auc,-1
45,0.760026330763481,2705,train,binary,0.02,20,3,70,0.001,0.2,0.0,1.0,auc,-1
46,0.7600381403363375,1072,train,binary,0.05,20,3,70,0.001,0.2,0.0,1.0,auc,-1
47,0.7600500460085934,5241,train,binary,0.01,20,3,70,0.001,0.2,0.0,1.0,auc,-1
48,0.760085591809971,1858,train,binary,0.03,20,3,70,0.001,0.2,0.0,1.0,auc,-1
